ts	iteration	bucket	proposal_source	decision	score	avg_latency_ms	avg_gflops	reason	log_messages
2026-03-18T17:55:52	1	medium		keep	1.115048	5.018596	20.355300	score_improved	iter=1 bucket=medium candidate=blocked|128|128|64|False|False|True|1|2 decision=keep score=1.115048 reason=score_improved
2026-03-18T17:55:52	2	medium		keep	7.735797	0.669064	129.838800	score_improved	iter=2 bucket=medium candidate=blocked_pack|128|128|128|True|True|False|16|4 decision=keep score=7.735797 reason=score_improved
2026-03-18T17:55:52	3	medium		revert	1.721841	3.227165	31.211667	improvement_below_threshold	iter=3 bucket=medium candidate=blocked_pack|128|128|128|True|True|False|1|2 decision=revert score=1.721841 reason=improvement_below_threshold
2026-03-18T17:55:52	4	medium		revert	1.096956	5.065507	19.884333	improvement_below_threshold	iter=4 bucket=medium candidate=blocked_pack|128|128|128|True|True|True|1|1 decision=revert score=1.096956 reason=improvement_below_threshold
2026-03-18T17:55:52	5	medium		revert	1.083359	5.205964	19.929767	improvement_below_threshold	iter=5 bucket=medium candidate=blocked_pack|128|128|64|True|True|True|1|2 decision=revert score=1.083359 reason=improvement_below_threshold
2026-03-18T17:55:52	6	medium		keep	10.080043	0.460020	146.246267	score_improved	iter=6 bucket=medium candidate=blocked_pack|128|128|96|True|True|False|16|1 decision=keep score=10.080043 reason=score_improved
2026-03-18T17:55:53	7	medium		revert	3.090283	1.508465	45.191300	improvement_below_threshold	iter=7 bucket=medium candidate=blocked_pack|128|128|96|True|True|True|4|1 decision=revert score=3.090283 reason=improvement_below_threshold
2026-03-18T17:55:53	8	medium		revert	3.158859	1.479563	46.372667	improvement_below_threshold	iter=8 bucket=medium candidate=blocked_pack|128|128|96|True|True|True|4|4 decision=revert score=3.158859 reason=improvement_below_threshold
2026-03-18T17:55:53	9	medium		keep	10.718629	0.428146	153.066033	score_improved	iter=9 bucket=medium candidate=blocked_pack|128|64|128|True|True|False|16|4 decision=keep score=10.718629 reason=score_improved
2026-03-18T17:55:53	10	medium		revert	3.458611	1.420189	54.410567	improvement_below_threshold	iter=10 bucket=medium candidate=blocked_pack|128|64|64|True|True|True|4|4 decision=revert score=3.458611 reason=improvement_below_threshold
